,OE
778,115.494397
779,881.3307990000001
780,126.824411
781,126.509146
782,136.445104
783,162.406824
784,100.57093900000001
785,151.821569
786,145.81474400000002
787,262.246465
788,227.33200999999997
789,37.992556
790,147.38905799999998
791,116.538054
792,38.023194
793,170.171513
794,156.198906
795,348.350699
796,110.41889899999998
797,112.05457799999999
798,910.976279
799,81.083148
800,341.50789100000003
801,224.50352599999997
802,148.382214
803,152.546507
804,138.882261
805,138.96270800000002
806,122.23432100000001
807,300.954108
808,245.93980599999998
809,38.065936
810,809.091171
811,147.19822200000002
812,262.669865
813,104.045964
814,92.217904
815,230.90673799999996
816,264.201909
817,385.143331
818,101.26541599999999
819,144.975911
820,776.962064
821,204.697433
822,135.672897
823,153.616024
824,93.39904900000002
825,339.88659
826,100.514872
827,220.68035199999997
828,123.50327
829,161.86846799999998
830,790.068949
831,150.083283
832,37.972189
833,170.48488199999997
834,153.980154
835,158.906549
836,137.55894899999998
837,160.93455100000003
838,184.96480620600002
839,362.366921
840,121.97494499999999
841,93.32329200000001
842,254.02206999999999
843,143.19074500000002
844,853.9127980000001
845,165.501431
846,128.61835
847,100.30535899999998
848,126.31555900000001
849,123.418772
850,412.88005599999997
851,255.08535499999996
852,86.78887399999999
853,242.39194299999997
854,38.055875
855,99.49698300000001
856,139.53950600000002
857,134.72766099999998
858,101.5653
859,148.602404
860,188.67312900000002
861,166.08016700000002
862,267.43533
863,150.672916
864,869.5419039999999
865,77.76997399999999
866,259.26530699999995
867,789.563621
868,125.206638
869,133.19478900000001
870,123.360307
871,90.742933
872,147.22191199999997
873,306.94811100000004
874,243.73916299999996
875,145.64241799999996
876,794.109035
877,259.18542
878,38.286096
879,88.41878500000001
880,134.230413
881,89.870018
882,128.975615
883,90.27771000000001
884,221.169719
885,140.46663900000001
886,147.563649
887,32.083522
888,837.8723299999999
889,87.41849100000002
890,222.77969599999997
891,150.292833
892,273.602456
893,155.97048600000002
894,84.644743
895,111.98333
896,860.1264719999999
897,130.620012
898,215.669692
899,172.20589099999998
900,93.282874
901,114.933541
902,82.707517
903,105.01786100000001
904,282.067998
905,173.51242699999995
906,816.9514839999999
907,149.32043
908,110.33632599999999
909,771.5198809999999
910,37.937139
911,186.147112
912,79.417836
913,247.37849899999998
914,780.4308530000001
915,295.978202
916,257.320443
917,37.973515
918,116.96181000000001
919,37.997323
920,80.120799
921,102.109084
922,137.610546
923,796.9998579999999
924,848.771025
925,32.083522
926,211.77878499999997
927,96.48020000000001
928,291.587486
929,119.75857199999999
930,844.029544
931,143.541993
932,261.833423
933,147.897786
934,155.08133
935,789.670394
936,138.941434
937,256.688106
938,874.421223
939,122.765237
940,285.08629299999996
941,135.502556
942,135.996354
943,79.99105600000001
944,253.31935
945,184.834
946,816.0831820000001
947,111.437814
948,205.11073199999998
949,307.111278
950,113.26307899999999
951,130.379111
952,75.919284
953,130.54328999999998
954,130.583371
955,145.246733
956,32.083522
957,226.71235399999998
958,834.8567129999999
959,150.355139
960,832.175733
961,812.651245
962,144.38606999999996
963,217.630499
964,143.516965
965,216.88964699999997
966,819.2465500000001
967,146.88658900000001
968,326.823731
969,38.136483
970,166.299604
971,143.205241
972,121.77942099999999
973,119.03922100000001
974,166.88405100000003
975,149.635906
976,264.718835
977,76.78318200000001
978,90.460778
979,255.17421199999998
980,37.939285
981,32.083522
982,99.40644999999998
983,224.99021499999998
984,854.6785239999999
985,112.46726
986,118.66675599999999
987,803.5089559999999
988,314.36233500000003
989,73.340042
990,106.33885500000001
991,322.273085
992,40.314622
993,227.19169699999998
994,219.20747
995,139.81094199999995
996,125.414354
997,162.456608
998,132.744779
999,143.14941299999998
1000,139.174194
1001,89.03276
1002,168.509729
1003,259.14271
1004,795.8236300000001
1005,167.444138
1006,160.32951399999996
1007,104.78483299999999
1008,223.98547199999996
1009,38.315008
1010,32.083522
1011,256.832507
1012,279.076779
1013,160.88534900000002
1014,798.924303
1015,165.70187199999998
1016,804.4713710000001
